Predict_linear_val,Predict_average1
7.87918138504028,7.95379608
7.87918138504028,7.951743334
5.57805967330933,5.696136804
7.25771474838257,7.294215452
8.39607048034668,8.51063034
8.14302635192871,8.132457691
8.14302635192871,8.176571074
7.05686712265015,6.753741357
7.07190561294556,6.885834221
8.14302635192871,8.153092713
2.53385448455811,2.192714381
8.30921363830566,8.324108085
2.53385448455811,2.153559929
2.53385448455811,2.145325933
6.74246644973755,6.638106788
5.57805967330933,5.689846907
7.34691476821899,7.459661725
6.74246644973755,6.634422583
5.71393728256226,5.646229236
7.24124765396118,7.094745218
6.14141798019409,6.192252326
6.14141798019409,6.199530938
4.88249731063843,4.708613255
8.07529449462891,7.945029023
7.60686826705933,7.610701107
6.56883382797241,6.848382787
8.07529449462891,7.93844561
8.86108207702637,8.8337083
7.47363233566284,7.357054123
11.1492805480957,11.133119255
7.24124765396118,7.14977288
6.14141798019409,6.180998734
4.88249731063843,4.667812894
8.35592269897461,8.673002805
7.44690752029419,7.45227662
7.29063653945923,7.352305616
5.66266489028931,5.693828141
4.8758659362793,4.738414453
6.41260290145874,6.384146764
7.81845617294312,7.903658199
7.87918138504028,8.068554249
7.23100519180298,7.020462547
7.71137952804565,7.744999329
14.5286388397217,14.648898205
7.29063653945923,7.295358539
5.42627477645874,5.18704691
7.00996828079224,6.727824655
7.73298025131226,7.769493916
6.00552988052368,6.218247323
6.00552988052368,6.173214024
5.69268083572388,5.500179018
5.69268083572388,5.597537855
4.8758659362793,4.751319145
7.81845617294312,7.89881041
6.79601716995239,6.548434464
2.53385448455811,2.272689035
2.53385448455811,2.233539
2.53385448455811,2.135152186
10.7713012695312,10.732152845
9.14849472045898,8.99778285
4.85128736495972,5.087442744
7.34691476821899,7.452785053
4.85128736495972,5.084277328
5.64905118942261,5.633213129
5.49039030075073,5.339498543
7.1783127784729,7.246620258
5.7091269493103,5.685073369
7.87918138504028,8.068836691
7.77038812637329,7.617782847
7.87918138504028,8.037369237
7.23100519180298,7.047209468
7.77038812637329,7.648815578
7.10231733322144,6.90312456
5.7091269493103,5.671306396
5.7091269493103,5.680869078
7.77038812637329,7.633543193
7.77038812637329,7.63341754
7.51065015792847,7.388578628
5.7091269493103,5.705516639
4.39319944381714,4.388890277
5.7091269493103,5.702633892
5.7091269493103,5.711262312
5.7091269493103,5.710888864
4.39319944381714,4.360519979
7.77038812637329,7.622337493
7.29466199874878,7.114144226
6.93964719772339,6.745804885
10.7713012695312,10.7298722
9.14849472045898,9.0248928
7.51065015792847,7.389358464
5.92659616470337,5.816977942
5.76716184616089,5.592005581
7.81845617294312,7.905284635
6.62864065170288,6.746065417
7.77038812637329,7.642071828
7.60686826705933,7.594692617
6.56883382797241,6.874370191
6.09964418411255,6.070943391
7.77038812637329,7.653492185
7.60686826705933,7.602538834
6.56883382797241,6.880702258
6.56883382797241,6.351443101
4.39319944381714,4.435732646
7.61878538131714,7.687819533
5.76716184616089,5.596652101
7.60686826705933,7.603954298
6.56883382797241,6.837014065
8.66565132141113,8.67252543
5.95383977890015,5.933432151
5.76716184616089,5.584470939
7.60686826705933,7.605259852
6.56883382797241,6.846175574
7.77038812637329,7.632034362
6.00552988052368,6.014904247
10.7713012695312,10.741223415
9.14849472045898,9.041051445
7.51065015792847,7.358136132
7.32227849960327,7.30785166
4.39319944381714,4.360282096
9.14849472045898,9.016495495
5.55099725723267,5.581007827
7.51065015792847,7.354256989
7.51065015792847,7.322691578
6.09964418411255,6.01914057
8.66565132141113,8.711319425
9.14849472045898,9.03248943
5.55099725723267,5.566784576
7.51065015792847,7.365219241
7.32227849960327,7.312212767
4.39319944381714,4.407935116
9.14849472045898,9.017064375
5.55099725723267,5.566788119
7.51065015792847,7.380932987
5.66266489028931,5.660239812
7.51065015792847,7.356600865
6.00552988052368,6.221414864
6.62864065170288,6.698468133
6.09964418411255,6.058144254
8.66565132141113,8.715299415
9.14849472045898,9.01570891
5.55099725723267,5.556748067
7.51065015792847,7.376221277
